1880331212,飞书,小透明官号来报道[热词系列_神仙UP]好家伙，这飞书用得太溜了吧！,100,5257
7952166,Theooh,我愿称之为《影视飓风入职必看》，这就改简历[脱单doge]（但视频是对影视制作者们都超有帮助！,12,2348
29191888,小戴社长,前排总结一下tim在视频里提到的干货！真的很实用！1.摄影机与镜头的采购需要从多方面考虑。2.应该对个人拥有的摄影器材进行统计。出门前在表中确认找到要用的即可，防止疏漏。（开工收工都要在离开片场前好好确认器材！！）3.要习惯把脑子里的好点子记录下来4.学会使用成熟的理论来检验自己的视频质量。（HKRR：Happiness、Resonance、Knowledge、Rhythm）5.策划过程中要详细的作出对目标的预期，便于理清思路6.作为团队领导，学会合适的将工作分配下去，以得到最好的执行。7.学会使用云端文档进行协作，保证沟通顺畅8.针对性的针对节目进行策划，权衡画质与拍摄便利性9.学会监看画面（用大屏幕有专人监看会保证画面以最佳的效果呈现）10.技术是内容的基石，学会做好平衡，不让画质来反噬你的创意11.事前要考虑到拍摄环境，决定你的拍摄与录音方案12.当素材量很大，没有DIT现场拷卡，需要学会封卡（详见视频），保证数据安全存储13.团队协作时应当建立明确的工作标准和文件分类，便于提升效率14.混音是门学问（不是简单的平衡bgm和talking的音量）15.作为up主要学会复盘和研究数据，研究热点与潮流16.做好自我拥有主见，不要盲目随波逐流如果有漏还请见谅！上面是我觉得很重要的点！！！[脸红][doge],28,2659
302304385,LCQ同学,跟去年的总结视频相比，tim明显没有那么压抑了，这是新的一年的好兆头。为了热爱，无限进步，加油！,6,957
26951696,飞书帮助中心,小透明官二号来报道 [热词系列_梦幻联动] 飞书帮助中心让你工作效率突飞猛进，还不知道就亏了！！！,13,1530
19706184,李涛涛Josh,影视飓风听起来像是个营销号，但是看了两期之后我被Tim的真实和节目的用心打动了，确实是一个献祭Tim做节目的好频道[脱单doge],6,990
1874198290,天气大师App-真是官方,Tim团队的关于内容评价HKRR理论，真的是非常非常有价值的干活[给心心][给心心]收益非常多,7,868
34524959,星河长夜z,建议把夭折的那些部分也放出来，毕竟本来就是一个好点子，还可以水一期 （bushi [tv_doge],10,977
360208872,假如成天傻乐,这期质量太好了，今年其他所有的视频我都没看，就这个我直接一键三连了[珈乐Carol_决明子],21,640
29368115,丨皮卡超丨,大家真的，要把王者荣耀，还有乱七八糟的手游卸载掉，然后少看微博抖音知乎这些乱七八糟的文章和新闻，多多找到自己真心喜欢的东西，去创造东西，而不是和机器人一样不停的点手机屏幕，划手机屏幕，可以把自己做出来的东西投稿到b站，会找到更多兴趣相投的伙伴，丰富经历，互相学习进步,75,2724
513778858,夜雨浅秋,这是影视飓风2022年目前最好看最优秀数据量最高的视频[tv_doge][脱单doge],2,502
395845200,小米有品,u1s1，tim就是肝王[捂眼],14,677
700634784,飓风商店MediaStore,iPad mini半笼我们用下来是真的好用，但是量产的话成本确实是有点高，小伙伴们可以回复下心理预期价格，我看看量产能不能回本[捂眼],46,367
100825369,十万个品牌故事,说来惭愧[捂眼],4,366
28205587,-知君何事泪纵横-,tim一直都是我影视区的最爱 看你从八十万粉到三百多万 真的能看出tim本人是非常有逻辑有条理又有情怀和思想的人 非常佩服！愿意分享这么核心和高效的工作流程 这么真诚和细致的脚本 相信你们一定会越来越好[给心心],2,254
18552427,小泽zz6,新年快乐！无限进步！！！,2,240
340419584,十玖带诗人,一年冲100次，这一年我是怎么做到的[蛆音娘_滑稽],22,386
302442159,余生临渊,u1s1，我想到影视飓风里面工作[doge],18,205
37441025,锦江知上,真的很佩服tim毫无保留分享成功经验 无论是对个人up还是团队或者是作为一个观众来看 都会带来很大的启发 看到影视飓风在一个一个视频里快速发展成长 真的备受鼓舞！无限进步！！respect！,2,139
3066511,特效小哥studio,他才大我一岁啊[跪了],76,5797
125912417,女神的玩物,进步的只有你们，我却在原地踏步[难过],9,357
21341704,bili美图区up,满满的都是干货[妙啊],7,253
