12437076,宇宙里的逸颗星,课代表来了！！！0:00《红莲华》0:16《loser》0:31《mojito》0:48《DADDY!DADDY!DO!》1:06《maria》1:20《你最最最重要》1:35《万有引力》1:45《yes！ok！》1:54《少年》2:02《你要跳舞吗》2:10《下山》2:20《处处吻》2:28《破茧》2:43《你的答案》2:52《执迷不悟》2:59《unravel》3:16《Astronamia》黑人抬棺3:33《画画的baby》3:41《酒醉的蝴蝶》3:56《how you like that》4:04《Old Town Road》4:13《淡黄的长裙》4:20《last dance》4:38《飞鸟和蝉》4:59《情人》5:09《云与海》5:29《永不失联的爱》5:51《无人之岛》6:06《冬眠》6:25《是想你的声音啊》6:38《吹灭小山河》6:54《谪仙》7:12《莫问归期》7:36《海底》7:49《十年人间》8:07《赤伶》8:26《孽海记》8:44《燕无歇》9:02《隔岸》9:22《囍》,273,43252
46463021,嫣然一笑小公举,这个串烧是up为了向我们展示她有多少衣服[doge-圣诞],52,13379
72513900,戏看春风,这一首让我知道了2020火了哪些歌曲[捂脸-圣诞][捂脸-圣诞][捂脸-圣诞],341,14881
249608727,杨可爱Ukulele,我这次真的豁出去了 这个几秒钟的舞就是50w粉福利了（我坚信）完整的舞也可以有，就是啥东西有点少你们懂吧？,144,12622
407236358,小杨还在,串烧绝不是把歌剪辑到一起，每首歌中间过渡的旋律都需要调或者自己成调，我亲身体会过，因为串烧做的不好，被骂的狗血淋头，所以影响很深，杨同学这首串烧从轻快，到最后的悲愁使我深陷其中，有什么讲的不对的欢迎大家批评，周董的mojito放前面，我觉得很不错，鸽王这一年就这一首歌，只能等2021了。,57,12242
629032382,哈会黄嘿黑,从头看到尾，越看越觉得哪里不对，跪下来重新看了一遍果然舒服多了[doge-圣诞],99,8805
39997124,北京交通大学,[热词系列_妙啊],100,7321
516280475,高德地图在路上,这么火呢，明儿德哥也给大家唱一波[热词系列_好家伙],41,2974
218983183,音乐詩人,看完了，虽然有部分歌没有听过，但这一期的质量是很强的，五连奉上。“这个年代真好啊，本来我可能穷尽一生也不会见到这样漂亮的女孩，而现在却能通过网络轻而易举看到她绝美的容颜，听见她婉转的歌声，尽管这歌不为我而唱。”突然想起这句话，之前在某个视频评论区看到的，侵删,20,3691
29080508,周美灵是我大姐头,哦辣妹迷死他！[Kizuna AI _拿第一][Kizuna AI _拿第一],27,3768
